1,0,驾驶机动车在道路上违反道路交通安全法的行为，属于什么行为？,noimg,过失行为,违规行为,违章行为,违法行为,3,道路交通安全法律、法规和规章,13.5%
2,0,机动车驾驶人违法驾驶造成重大交通事故构成犯罪的，依法追究什么责任？,noimg,刑事责任,民事责任,直接责任,经济责任,0,道路交通安全法律、法规和规章,10%
3,0,机动车驾驶人造成事故后逃逸构成犯罪的，吊销驾驶证且多长时间不得重新取得驾驶证？,noimg,5年内,10年内,20年内,终生,3,道路交通安全法律、法规和规章,11%
4,1,驾驶机动车违反道路交通安全法律法规发生交通事故属于交通违章行为。,noimg,正确,错误,null,null,1,道路交通安全法律、法规和规章,8.5%
5,1,驾驶机动车在道路上违反道路通行规定应当接受相应的处罚。,noimg,正确,错误,null,null,0,道路交通安全法律、法规和规章,11.5%
6,1,对未取得驾驶证驾驶机动车的，追究其法律责任。,noimg,正确,错误,null,null,0,道路交通安全法律、法规和规章,7.5%
7,1,对违法驾驶发生重大交通事故且构成犯罪的，不追究其刑事责任。,noimg,正确,错误,null,null,1,道路交通安全法律、法规和规章,7.5%
8,1,"造成交通事故后逃逸且构成犯罪的驾驶人，将吊销驾驶证且终生不得重新取得驾驶证。",noimg,正确,错误,null,null,0,道路交通安全法律、法规和规章,4.5%
9,1,驾驶机动车在道路上违反交通安全法规的行为属于违法行为。,noimg,正确,错误,null,null,0,道路交通安全法律、法规和规章,6.5%
10,0,驾驶机动车应当随身携带哪种证件？,noimg,职业资格证,身份证,驾驶证,工作证,2,道路交通安全法律、法规和规章,10%
11,0,未取得驾驶证的学员在道路上学习驾驶技能，下列哪种做法是正确的？,noimg,使用所学车型的教练车由教练员随车指导,使用所学车型的教练车单独驾驶学习,使用所学车型的教练车由非教练员的驾驶人随车指导,使用私家车由教练员随车指导,0,道路交通安全法律、法规和规章,16%
12,0,机动车驾驶人初次申领驾驶证后的实习期是多长时间？,noimg,18个月,16个月,12个月,6个月,2,道路交通安全法律、法规和规章,9.5%
13,0,在实习期内驾驶机动车的，应当在车身后部粘贴或者悬挂哪种标志？,noimg,注意避让标志,注意新手标志,统一式样的实习标志,注意车距标志,2,道路交通安全法律、法规和规章,11.5%
14,0,以欺骗、贿赂等不正当手段取得驾驶证被依法撤销驾驶许可的，多长时间不得重新申请驾驶许可？,noimg,3年内,终身,1年内,5年内,0,道路交通安全法律、法规和规章,9.5%
15,1,驾驶人要按照驾驶证载明的准驾车型驾驶车辆。,noimg,正确,错误,null,null,0,道路交通安全法律、法规和规章,11%
16,1,上路行驶的机动车未随车携带身份证的，交通警察可依法扣留机动车。,noimg,正确,错误,null,null,1,道路交通安全法律、法规和规章,6%
17,1,"上路行驶的机动车未放置检验合格标志的，交通警察可依法扣留机动车。",noimg,正确,错误,null,null,0,道路交通安全法律、法规和规章,7%
18,1,伪造、变造机动车驾驶证构成犯罪的将被依法追究刑事责任。,noimg,正确,错误,null,null,0,道路交通安全法律、法规和规章,8.5%
19,1,机动车驾驶人在实习期内驾驶机动车不得牵引挂车。,noimg,正确,错误,null,null,0,道路交通安全法律、法规和规章,6%
20,0,驾驶拼装机动车上路行驶的驾驶人，除按规定接受罚款外，还要受到哪种处理？,noimg,暂扣驾驶证,吊销驾驶证,追究刑事责任,处10日以下拘留,1,道路交通安全法律、法规和规章,13%
21,0,驾驶报废机动车上路行驶的驾驶人，除按规定罚款外，还要受到哪种处理？,noimg,收缴驾驶证,撤销驾驶许可,强制恢复车况,吊销驾驶证,3,道路交通安全法律、法规和规章,11.5%
22,0,对驾驶已达到报废标准的机动车上路行驶的驾驶人，会受到下列哪种处罚？,noimg,处20以上200元以下罚款,追究刑事责任,处15日以下拘留,吊销机动车驾驶证,3,道路交通安全法律、法规和规章,15%
23,0,对驾驶拼装机动车上路行驶的驾驶人，会受到下列哪种处罚？,noimg,依法追究刑事责任,处200以上2000元以下罚款,吊销机动车行驶证,处15日以下拘留,1,道路交通安全法律、法规和规章,13.5%
24,1,驾驶机动车上路前应当检查车辆安全技术性能。,noimg,正确,错误,null,null,0,道路交通安全法律、法规和规章,6.5%
25,1,不得驾驶具有安全隐患的机动车上道路行驶。,noimg,正确,错误,null,null,0,道路交通安全法律、法规和规章,5%
26,1,拼装的机动车只要认为安全就可以上路行驶。,noimg,正确,错误,null,null,1,道路交通安全法律、法规和规章,10.5%
27,1,已经达到报废标准的机动车经大修后可以上路行驶。,noimg,正确,错误,null,null,1,道路交通安全法律、法规和规章,6.5%
28,0,下列哪种证件是驾驶机动车上路行驶应当随车携带？,noimg,机动车保险单,机动车行驶证,出厂合格证明,机动车登记证,1,道路交通安全法律、法规和规章,8%
29,2,驾驶这种机动车上路行驶属于什么行为？,img-1,违章行为,违规行为,违法行为,犯罪行为,2,道路交通安全法律、法规和规章,12%
30,0,下列哪种标志是驾驶机动车上路行驶应当在车上放置的标志？,noimg,保持车距标志,提醒危险标志,检验合格标志,产品合格标志,2,道路交通安全法律、法规和规章,12.5%
31,0,驾驶人在下列哪种情况下不能驾驶机动车？,noimg,喝咖啡后,喝牛奶后,饮酒后,喝茶后,2,道路交通安全法律、法规和规章,13.5%
32,2,这辆在道路上行驶的机动车有下列哪种违法行为？,img-2,未按规定悬挂号牌,故意遮挡号牌,占用非机动车道,逆向行驶,1,道路交通安全法律、法规和规章,12%
33,1,驾驶机动车上路行驶应当按规定悬挂号牌。,noimg,正确,错误,null,null,0,道路交通安全法律、法规和规章,13%
